 shape_pt_sequence |    shape_pt_lat    |    shape_pt_lon
                 9 |         13.3181369 |         -59.6270566
                10 |         13.3181128 |         -59.6271144
                11 |          13.318101 |         -59.6272429
                12 |         13.3180711 |         -59.6279053
                13 |         13.3180507 |         -59.6285412
                14 |         13.3180482 |         -59.6285975
                15 |         13.3180272 |          -59.629079
                16 |         13.3179771 |            -59.6292
                17 |         13.3179306 |         -59.6292654
                18 |         13.3177819 |         -59.6293432
                19 |         13.3176853 |          -59.629488
                20 |         13.3173151 |         -59.6297581
                21 |         13.3172494 |          -59.629818
                22 |         13.3171907 |         -59.6298931
                23 |          13.317055 |         -59.6301814
                24 |         13.3168536 |         -59.6306582
                25 |         13.3163517 |         -59.6320355
                26 | 13.316323544444323 |  -59.63208561773462
                 1 |  13.31615560472718 |  -59.63989583783977
                 2 |         13.3161249 |         -59.6399295
                 3 |         13.3157066 |         -59.6402256
                 4 |         13.3152884 |         -59.6405175
                 5 |          13.315136 |         -59.6405575
                 6 |         13.3150025 |         -59.6405058
                 7 |  13.31498558382971 |  -59.64048324116036
                 1 | 13.319004863757046 |    -59.633515896391
                 2 |         13.3189987 |         -59.6335163
                 3 |         13.3190338 |         -59.6346723
                 4 |         13.3191078 |         -59.6351718
                 5 |         13.3191781 |         -59.6356912
                 6 |         13.3192237 |         -59.6357772
                 7 |         13.3194142 |         -59.6358952
                 8 |         13.3194215 |         -59.6359954
                 9 |         13.3194437 |          -59.636912
                10 | 13.319444721352154 |  -59.63691889236121
                 1 | 13.319623907235675 | -59.638368059366144
                 2 |         13.3196261 |         -59.6383872
                 3 |         13.3188655 |         -59.6384068
                 4 |         13.3187575 |         -59.6384333
                 5 |         13.3184041 |         -59.6384573
                 6 |         13.3183484 |         -59.6385281
                 7 |         13.3182949 |         -59.6385268
                 8 | 13.318295330428779 |   -59.6385470301526
                 1 | 13.314988479534982 | -59.640487102776184
                 2 |         13.3145738 |         -59.6399341
                 3 |         13.3138324 |         -59.6389455
                 4 |         13.3137887 |         -59.6388873
                 5 |         13.3121574 |         -59.6373038
                 6 |         13.3116107 |         -59.6368162
                 7 |         13.3115722 |         -59.6367974
                 8 |         13.3115311 |         -59.6367897
                 9 |  13.31152305331265 |  -59.63677564631485
                 1 | 13.299949775372834 |  -59.64237226833535
                 2 |         13.2998126 |         -59.6423937
                 3 |         13.2996213 |         -59.6423761
                 4 |         13.2993707 |         -59.6423452
                 5 |         13.2989043 |         -59.6422731
                 6 |         13.2980211 |         -59.6421348
                 7 |         13.2974365 |         -59.6420194
                 8 |         13.2973044 |         -59.6419877
                 9 |         13.2972604 |         -59.6419571
